Rank,Name,Gender,YOB,Country,IOQR,MOQR,2022 World Triathlon Championship Series Hamburg,2022 World Triathlon Championship Series Leeds,2022 World Triathlon Sprint and Relay Championships Montreal,2023 Americas Triathlon Cup and South American Championships Lima,2023 World Triathlon Championship Series Sunderland,2023 World Triathlon Mixed Relay Series Paris,2023 World Triathlon Sprint and Relay Championships Hamburg,2024 World Triathlon Mixed Relay Olympic Qualification Event Huatulco
1,Léo Bergere,Men,1996,FRA,9124.49,1647.078125,,855.625,,,,791.453125,,
2,Hayden Wilde,Men,1997,NZL,8864.17,3664.189056,732.0941406,424.1886658,791.453125,,791.453125,,925,
3,Alex Yee,Men,1998,GBR,8225.4,1850,,,925,,,925,,
4,Vasco Vilaca,Men,1999,POR,6932.11,1750.866706,0,,,,626.3980491,732.0941406,392.3745159,
5,Matthew Hauser,Men,1998,AUS,6878.39,2279.37416,925,677.1870801,,,,,677.1870801,
6,Csongor Lehmann,Men,1999,HUN,6060.216,2331.737781,,335.7254452,,,,579.4181954,732.0941406,684.5
7,Pierre Le Corre,Men,1990,FRA,5891.17,2000,,,1000,,1000,,,
8,Jelle Geens,Men,1993,BEL,5738.23,2470.490148,424.1886658,732.0941406,0,,,855.625,458.5823414,
9,Miguel Hidalgo,Men,2000,BRA,5535.39,1462.189203,,,,,458.5823414,424.1886658,579.4181954,
10,Kristian Blummenfelt,Men,1994,NOR,5365.38,0,,,,,,,,
11,Dorian Coninx,Men,1994,FRA,5352.7395,791.453125,,,,,,791.453125,,
12,Antonio Serrat Seoane,Men,1995,ESP,5092.39,2145.023517,,,458.5823414,,732.0941406,458.5823414,495.7646934,
13,Lasse Lührs,Men,1996,GER,5084.53,1535.961831,,1000,,,535.9618307,,,
14,Manoel Messias,Men,1996,BRA,5056.22,1400.946964,362.9464272,,0,,458.5823414,,579.4181954,
15,Kenji Nener,Men,1993,JPN,4907.75,1252.910659,579.4181954,362.9464272,0,,,310.5460368,,
16,Jonas Schomburg,Men,1994,GER,4818.18,1000,,,,,,1000,,
17,Vincent Luis,Men,1989,FRA,4756.81,1000,,,1000,,,,,
18,Matthew McElroy,Men,1992,USA,4669.546,1327.414956,,535.9618307,,,,,791.453125,
19,Tim Hellwig,Men,1999,GER,4450.6,2000,,,,,,1000,1000,
20,Vetle Bergsvik Thorn,Men,1999,NOR,4208.1,3828.374457,,626.3980491,424.1886658,,855.625,495.7646934,626.3980491,800
21,Luke Willian,Men,1996,AUS,4132.5945,925,925,,,,,,,
22,Tyler Mislawchuk,Men,1994,CAN,4116.09,1019.349225,,,732.0941406,,,0,287.255084,
23,Roberto Sanchez Mantecon,Men,1996,ESP,4054.61,1412.929376,,,458.5823414,,,458.5823414,495.7646934,
24,Michele Sarzilla,Men,1988,ITA,3913.83,2289.53845,335.7254452,791.453125,,,,626.3980491,535.9618307,
25,Charles Paquet,Men,1997,CAN,3887.4845,1019.349225,,,732.0941406,,,,287.255084,
26,Tom Richard,Men,1993,FRA,3816.77,1855.625,,855.625,,,1000,,,
27,Ricardo Batista,Men,2000,POR,3736.5,2517.328581,,579.4181954,579.4181954,,626.3980491,732.0941406,,
28,Marten Van Riel,Men,1992,BEL,3726.8,458.5823414,,,0,,,,458.5823414,
29,Bence Bicsák,Men,1995,HUN,3680.22,1020.225445,,335.7254452,,,,,,684.5
30,Alberto Gonzalez Garcia,Men,1998,ESP,3626.69,310.5460368,,310.5460368,,,,,,
31,Márk Dévay,Men,1996,HUN,3605.25,1905.045914,677.1870801,,,,495.7646934,,732.0941406,
32,Morgan Pearson,Men,1993,USA,3527.41,0,,,,,,,,
33,Tayler Reid,Men,1996,NZL,3431.54,3324.469432,,424.1886658,791.453125,,791.453125,392.3745159,925,
34,Lasse Nygaard Priester,Men,1995,GER,3415.8,1855.625,855.625,1000,,,,,,
35,Sergio Baxter Cabrera,Men,2000,ESP,3390.42,732.0941406,,,,,732.0941406,,,
36,Gábor Faldum,Men,1988,HUN,3375.67,1752.369969,677.1870801,,,,495.7646934,579.4181954,,
37,Adrien Briffod,Men,1994,SUI,3362.307,677.1870801,,,,,677.1870801,,,
38,Dylan McCullough,Men,2001,NZL,3326.501,1124.468657,732.0941406,,,,,392.3745159,,
39,Gianluca Pozzatti,Men,1993,ITA,3271.53,1071.923661,,,535.9618307,,,,535.9618307,
40,Jawad Abdelmoula,Men,1994,MAR,3252.235,0,,,,,,,,
41,David Castro Fajardo,Men,1993,ESP,3218.06,0,,,,,,,,
42,Makoto Odakura,Men,1993,JPN,3002.1135,310.5460368,,,,,,310.5460368,,
43,Diego Moya,Men,1998,CHI,2980.68,0,,,,,,,,
44,Seth Rider,Men,1997,USA,2927.9385,3111.376302,392.3745159,535.9618307,855.625,,,535.9618307,791.453125,
45,Brandon Copeland,Men,1996,AUS,2925.7175,858.7111206,,,495.7646934,,,362.9464272,,
46,Max Studer,Men,1996,SUI,2881.68,2324.265205,791.453125,,,,677.1870801,,855.625,
47,Richard Murray,Men,1989,NED,2874.83,3124.275532,0,495.7646934,362.9464272,,424.1886658,677.1870801,424.1886658,740
48,Takumi Hojo,Men,1996,JPN,2824.48,942.3646226,579.4181954,362.9464272,0,,,,,
49,Shachar Sagiv,Men,1994,ISR,2797.78,0,,,,,,,,
50,Aram Michell Peñaflor Moysen,Men,1999,MEX,2664.96,310.5460368,,,,,310.5460368,0,,
51,Barclay Izzard,Men,1998,GBR,2643.65,2850,1000,,,,925,925,,
52,Rostislav Pevtsov,Men,1987,AZE,2614.31,0,,,,,,,,
53,Aoba Yasumatsu,Men,1997,JPN,2514.0395,0,,,,,,,,
54,Martin Sobey,Men,1996,CAN,2510.04,0,,,,,,,,
55,Jonathan Brownlee,Men,1990,GBR,2483.54,0,,,,,,,,
56,David Cantero Del Campo,Men,2003,ESP,2478.23,0,,,,,,,,
57,Henri Schoeman,Men,1991,RSA,2420.02,911.9824347,,,,,335.7254452,265.7109527,310.5460368,0
58,Jacob Birtwhistle,Men,1995,AUS,2412.494,2213.085281,,677.1870801,495.7646934,,0,362.9464272,677.1870801,
59,Crisanto Grajales Valencia,Men,1987,MEX,2407.678,310.5460368,,0,,,310.5460368,0,,
60,Joao Silva,Men,1989,POR,2394.22,1158.836391,0,579.4181954,579.4181954,,,,,
61,Alois Knabl,Men,1992,AUT,2373.35,1118.713028,,0,,,,287.255084,245.7826313,585.6753125
62,Valentin Wernz,Men,1995,GER,2352.43,855.625,855.625,,,,,,,
63,Simon Westermann,Men,1998,SUI,2330.65,791.453125,791.453125,,,,,,,
64,Emil Holm,Men,1996,DEN,2282.656,2548.54531,535.9618307,392.3745159,626.3980491,,392.3745159,335.7254452,265.7109527,
65,Ren Sato,Men,1995,JPN,2278.24,287.255084,,,,,287.255084,,,
66,Jamie Riddle,Men,2000,RSA,2201.55,601.4363979,,,,,335.7254452,265.7109527,,0
67,Genis Grau,Men,1994,ESP,2077.31,633.1625,,,,,,,,633.1625
68,Jack Willis,Men,1997,GBR,1973.72,362.9464272,,,,,,,362.9464272,
69,Sylvain Fridelance,Men,1995,SUI,1954.33,1532.81208,,0,677.1870801,,,,855.625,
70,Samuel Dickinson,Men,1997,GBR,1952.07,1925,1000,,925,,,,,
71,Johannes Vogel,Men,1996,GER,1927.71,535.9618307,,,,,535.9618307,,,
72,Valentin Morlec,Men,1999,FRA,1898.02,626.3980491,626.3980491,,,,,,,
73,Brock Hoel,Men,2001,CAN,1897.1245,0,0,,,,,0,,0
74,Arnaud Mengal,Men,1997,BEL,1895.347,855.625,,,,,0,855.625,,
75,Callum McClusky,Men,1998,AUS,1870.8,0,,,,,,,,
76,Max Stapley,Men,1999,GBR,1861.94,925,,,,,925,,,
77,Nicola Azzano,Men,1997,ITA,1846.51,335.7254452,335.7254452,,,,,,,
78,Darr Smith,Men,1998,USA,1766.38,1115.380026,,,,,579.4181954,535.9618307,,
79,Joao Pereira,Men,1987,POR,1705.6,0,,,,,,,,
80,Jumpei Furuya,Men,1991,JPN,1694.1595,0,,,,,,,,
81,Tjebbe Kaindl,Men,1999,AUT,1690.17,1118.713028,,0,,,,287.255084,245.7826313,585.6753125
82,Oscar Dart,Men,2001,AUS,1599.76,0,,,,,0,,,
83,Gaspar Riveros,Men,1990,CHI,1599.51,462.5,,,,462.5,,,,
84,Gregor Payet,Men,1995,LUX,1598.8,581.5080765,,,,,,245.7826313,335.7254452,
85,Yanis Seguin,Men,2000,FRA,1597.987,0,,,,,,,,
86,Simon Henseleit,Men,2000,GER,1561.34,1000,,,,,,,1000,
87,Rodrigo Gonzalez Lopez,Men,1989,MEX,1555.311,619.7234498,,,392.3745159,,,,227.3489339,
88,Badr Siwane,Men,1994,MAR,1513.4545,0,,,,,,,,
89,Hugo Milner,Men,1998,GBR,1499.9,0,,,,,,,,
90,John Reed,Men,2001,USA,1495.88,0,,,,,,,,
91,Trent Thorpe,Men,1996,NZL,1492.553,0,,,,,,,,
92,Chase McQueen,Men,1998,USA,1465.1,971.7927113,392.3745159,,,,579.4181954,,,
93,Saxon Morgan,Men,2000,NZL,1425.29,0,,,,,,,,
94,Bradley Course,Men,2004,AUS,1424.58,0,,,,,,,,
95,Alessio Crociani,Men,2001,ITA,1390.84,362.9464272,,,,,362.9464272,,,
96,Casper Stornes,Men,1997,NOR,1388.2,2777.787743,,,,,855.625,495.7646934,626.3980491,800
97,Felix Duchampt,Men,1989,ROU,1359.58,0,,,,,,,,
98,Panagiotis Bitados,Men,2003,GRE,1349.786,0,,,,,,,,
99,Jannik Schaufler,Men,1997,GER,1348.84,0,,,,,,,,
100,Leon Pauger,Men,1998,AUT,1331.93,0,,,,,,,,
101,Noah Servais,Men,1997,BEL,1305.02,732.0941406,,732.0941406,,,0,,,
102,Janus Staufenberg,Men,1999,NZL,1300.96,0,,,,,,,,
103,Antonio Bravo Neto,Men,1999,BRA,1299.72,787.135093,362.9464272,,0,,,424.1886658,,
104,Itamar Eshed,Men,2000,ISR,1272.54,0,,,,,,,,
105,Irving Perez,Men,1986,MEX,1245.67,619.7234498,,0,392.3745159,,,,227.3489339,
106,Nicolò Strada,Men,2000,ITA,1209.08,2316.759432,,791.453125,535.9618307,,362.9464272,626.3980491,,
107,Gustav Iden,Men,1996,NOR,1142.66,626.3980491,,626.3980491,,,,,,
108,Jason Tai Long Ng,Men,2000,HKG,1125.3595,0,,,,,,,,
109,Kevin McDowell,Men,1992,USA,1041.04,855.625,,,855.625,,,,,
110,Martin Demuth,Men,1995,AUT,1022.49,0,,,,,,,,
111,Ayan Beisenbayev,Men,1996,KAZ,1005.0755,0,,,,,,,,
112,Tyler Smith,Men,1998,BER,1004.93,0,,,,,,,,
113,Luke Bate,Men,1999,AUS,1003.96,0,,,,,,,,
114,Harry Leleu,Men,1996,GBR,925.84,0,,,,,,,,
115,Ben Dijkstra,Men,1998,GBR,888.35,0,,,,,,,,
116,Matthew Wright,Men,1992,BAR,852.82,0,,,,,,,,
117,Nicholas Quenet,Men,1997,RSA,851.445,0,,,,,,,,
118,Lukas Pertl,Men,1995,AUT,848.41,0,,,,,,,,
119,Kyotaro Yoshikawa,Men,2000,JPN,834.32,287.255084,,,,,287.255084,,,
120,Juan Jose Andrade Figueroa,Men,1993,ECU,821.97,0,,,,0,,,,0
121,Aiden Longcroft-Harris,Men,1998,CAN,818.6,0,,,,,,,,
122,Eric Diener,Men,2000,GER,817.55,0,,,,,,,,
123,Stefan Zachäus,Men,1990,LUX,803.64,0,,,,,,,,
124,Maxime Hueber-Moosbrugger,Men,1996,FRA,800.11,0,,,,,,,,
125,Siefeldeen Ismail,Men,2001,EGY,779.088,0,,,,,,,,
126,Mitch Kolkman,Men,2002,NED,777.72,3124.275532,,495.7646934,362.9464272,,424.1886658,677.1870801,424.1886658,740
127,Michał Oliwa,Men,1997,POL,755.37,0,,,,,,,,
128,Liam Donnelly,Men,1999,CAN,754.61,0,,,,,,,,
129,Lachlan Jones,Men,2000,AUS,743.33,0,,,,,,,,
130,Louis Vitiello,Men,1998,FRA,740.55,0,,,,,,,,
131,Paul Georgenthum,Men,2000,FRA,737.62,626.3980491,626.3980491,,,,,,,
132,Connor Bentley,Men,2001,GBR,735.2,362.9464272,,,,,,,362.9464272,
133,Junjie Fan,Men,2001,CHN,714.5175,0,,,,,,,,
134,Dylan Nortje,Men,1997,RSA,695.464,310.5460368,,,,,,,310.5460368,
135,Seifeddine Selmi,Men,2001,TUN,689.99,0,,,,,,,,
136,Jeremy Briand,Men,1995,CAN,686.93,0,0,,,,,,,
137,Andreas Carlsson,Men,2001,SWE,674.33,310.5460368,310.5460368,,,,,,,
138,Erwin Vanderplancke,Men,1995,BEL,664.75,424.1886658,424.1886658,,,,,,,
139,Kauê Willy,Men,1996,BRA,663.86,0,,,,,,,,
140,Russell White,Men,1992,IRL,657.94,0,,,,,,,,
141,Jean Gael Laurent L`entete,Men,1996,MRI,649.89,0,,,,,,,,
142,Grant Sheldon,Men,1994,GBR,637.43,925,,925,,,,,,
143,Brent Demarest,Men,1995,USA,636.16,0,,,,,,,,
144,Kurt Wesley,Men,1997,AUS,631.3,0,,,,,,,,
145,Mario Mola,Men,1990,ESP,610.97,0,,,,,,,,
146,Benjamin Zorgnotti,Men,1994,TAH,603.43,0,,,,,,,,
147,Daniel Dixon,Men,2002,GBR,598.65,0,,,,,,,,
148,Genta Uchida,Men,1997,JPN,597.34,0,,,,,,,,
149,Bob Haller,Men,1993,LUX,596.24,581.5080765,,,,,,245.7826313,335.7254452,
150,Jordi García Gracia,Men,1992,ESP,583.17,0,,,,,,,,
151,Christopher Deegan,Men,1996,AUS,566.4,0,,,,,,,,
